	Epoch	SSE	Avg SSE	Pct Err	Pct Cor	CosDiff	Hid1 ActAvg	Hid2 ActAvg	Out ActAvg
0	0.0	6.502988224029541	6.502988224029541	1.0	0.0	0.03305905714631081	0.0	0.0	0.0
1	1.0	5.5443449974060055	5.5443449974060055	1.0	0.0	0.1450496604293585	0.0	0.0	0.0
2	2.0	4.925105113983154	4.925105113983154	1.0	0.0	0.21942123919725418	0.0	0.0	0.0
3	3.0	4.10592812538147	4.10592812538147	1.0	0.0	0.3536748254299164	0.0	0.0	0.0
4	4.0	3.8246324110031127	3.8246324110031127	1.0	0.0	0.40847242400050165	0.0	0.0	0.0
5	5.0	3.413648900985718	3.413648900985718	1.0	0.0	0.4813242720067501	0.0	0.0	0.0
6	6.0	2.6398904263973235	2.6398904263973235	0.96	0.040000000000000036	0.5807644778490066	0.0	0.0	0.0
7	7.0	2.3326465022563934	2.3326465022563934	0.96	0.040000000000000036	0.6324946188926697	0.0	0.0	0.0
8	8.0	1.7559985268115996	1.7559985268115996	0.96	0.040000000000000036	0.7090980732440948	0.0	0.0	0.0
9	9.0	1.7560573256015777	1.7560573256015777	0.96	0.040000000000000036	0.7181373220682145	0.0	0.0	0.0
10	10.0	1.3855593812465667	1.3855593812465667	0.96	0.040000000000000036	0.7745157623291016	0.0	0.0	0.0
11	11.0	1.0257753574848174	1.0257753574848174	0.92	0.07999999999999996	0.8179229962825775	0.0	0.0	0.0
12	12.0	1.0108894050121306	1.0108894050121306	0.92	0.07999999999999996	0.8189955469965935	0.0	0.0	0.0
13	13.0	0.7185411489009857	0.7185411489009857	0.84	0.16000000000000003	0.8632869267463684	0.0	0.0	0.0
14	14.0	0.587820291519165	0.587820291519165	0.76	0.24	0.8849997472763061	0.0	0.0	0.0
15	15.0	0.40184409499168394	0.40184409499168394	0.64	0.36	0.9100633978843689	0.0	0.0	0.0
16	16.0	0.4458664882183075	0.4458664882183075	0.56	0.43999999999999995	0.9025637173652649	0.0	0.0	0.0
17	17.0	0.24851218342781067	0.24851218342781067	0.56	0.43999999999999995	0.9330410289764405	0.0	0.0	0.0
18	18.0	0.2705525469779968	0.2705525469779968	0.4	0.6	0.9304361855983734	0.0	0.0	0.0
19	19.0	0.0832589340209961	0.0832589340209961	0.2	0.8	0.9537646675109863	0.0	0.0	0.0
20	20.0	0.11807183384895324	0.11807183384895324	0.24	0.76	0.9547369647026062	0.0	0.0	0.0
21	21.0	0.06199067831039429	0.06199067831039429	0.08	0.92	0.9642932271957397	0.0	0.0	0.0
22	22.0	0.07914841890335084	0.07914841890335084	0.12	0.88	0.9665454840660095	0.0	0.0	0.0
23	23.0	0.03752906680107117	0.03752906680107117	0.08	0.92	0.9728306293487549	0.0	0.0	0.0
24	24.0	0.024538520574569702	0.024538520574569702	0.08	0.92	0.9786912536621094	0.0	0.0	0.0
25	25.0	0.029055925607681273	0.029055925607681273	0.08	0.92	0.9786319375038147	0.0	0.0	0.0
26	26.0	0.016470946073532104	0.016470946073532104	0.04	0.96	0.9799645733833313	0.0	0.0	0.0
27	27.0	0.02595969557762146	0.02595969557762146	0.08	0.92	0.9823806452751159	0.0	0.0	0.0
28	28.0	0.010511281490325928	0.010511281490325928	0.04	0.96	0.984726927280426	0.0	0.0	0.0
29	29.0	0.0	0.0	0.0	1.0	0.9876088309288025	0.0	0.0	0.0
30	30.0	0.0	0.0	0.0	1.0	0.9873311185836792	0.0	0.0	0.0
31	31.0	0.0	0.0	0.0	1.0	0.9897602581977845	0.0	0.0	0.0
32	32.0	0.0	0.0	0.0	1.0	0.9898049092292786	0.0	0.0	0.0
33	33.0	0.033913497924804685	0.033913497924804685	0.04	0.96	0.9870393133163452	0.0	0.0	0.0
34	34.0	0.012541043758392333	0.012541043758392333	0.04	0.96	0.988977313041687	0.0	0.0	0.0
35	35.0	0.0	0.0	0.0	1.0	0.9900124216079712	0.0	0.0	0.0
36	36.0	0.0	0.0	0.0	1.0	0.9916638731956482	0.0	0.0	0.0
37	37.0	0.0	0.0	0.0	1.0	0.9927366685867309	0.0	0.0	0.0
38	38.0	0.0	0.0	0.0	1.0	0.9933196640014649	0.0	0.0	0.0
39	39.0	0.0	0.0	0.0	1.0	0.9922639155387878	0.0	0.0	0.0
40	40.0	0.031266505718231204	0.031266505718231204	0.04	0.96	0.9901423144340515	0.0	0.0	0.0
41	41.0	0.0	0.0	0.0	1.0	0.9917899346351624	0.0	0.0	0.0
42	42.0	0.0	0.0	0.0	1.0	0.9958082675933838	0.0	0.0	0.0
43	43.0	0.0	0.0	0.0	1.0	0.9932774353027344	0.0	0.0	0.0
44	44.0	0.0	0.0	0.0	1.0	0.9929286527633667	0.0	0.0	0.0
45	45.0	0.0	0.0	0.0	1.0	0.9943410277366638	0.0	0.0	0.0
46	46.0	0.014708456993103027	0.014708456993103027	0.04	0.96	0.9913027858734131	0.0	0.0	0.0
47	47.0	0.0	0.0	0.0	1.0	0.995954065322876	0.0	0.0	0.0
48	48.0	0.0	0.0	0.0	1.0	0.9979745268821716	0.0	0.0	0.0
49	49.0	0.010892840623855591	0.010892840623855591	0.04	0.96	0.9927862071990967	0.0	0.0	0.0
50	50.0	0.02289717435836792	0.02289717435836792	0.04	0.96	0.995498149394989	0.0	0.0	0.0
51	51.0	0.0	0.0	0.0	1.0	0.9981229233741761	0.0	0.0	0.0
52	52.0	0.0	0.0	0.0	1.0	0.9982639026641845	0.0	0.0	0.0
53	53.0	0.0	0.0	0.0	1.0	0.9981537246704102	0.0	0.0	0.0
