_H:,|Epoch,%CosDiff,%AvgCosDiff,%SSE,%Avg SSE,%Count Err,%Pct Err,%Pct Cor,%Hid1 ActAvg,%Hid2 ActAvg,%Out ActAvg
_D:,0,-0.036869537085294724,-0.11394710838794708,13.770672798156738,0.1377067267894745,25,1,0,0.1111014112830162,0.09482864290475845,0.1454760730266571
_D:,1,0.04831070825457573,-0.07790505141019821,12.704124450683594,0.1270412653684616,25,1,0,0.1013428345322609,0.08198154717683792,0.1448148488998413
_D:,2,0.03311534598469734,-0.05331568792462349,11.635625839233398,0.116356261074543,25,1,0,0.09634735435247421,0.0739934891462326,0.14430053532123566
_D:,3,0.07470329105854034,-0.024904293939471245,11.176593780517578,0.11176593601703644,25,1,0,0.09364233165979385,0.06745516508817673,0.14390051364898682
_D:,4,0.0749494805932045,-0.0023532204795628786,10.486320495605469,0.1048632264137268,25,1,0,0.09176193922758102,0.06818530708551407,0.14358936250209808
_D:,5,0.10093298554420471,0.02069907635450363,10.210090637207031,0.10210089385509491,25,1,0,0.08932437747716904,0.07132229954004288,0.1433473378419876
_D:,6,0.12360495328903198,0.043659940361976624,9.98330020904541,0.09983301162719727,25,1,0,0.08942647278308868,0.07350845634937286,0.14315909147262573
_D:,7,0.13352692127227783,0.06400969624519348,10.326369285583496,0.10326366126537323,25,1,0,0.08875773847103119,0.07490933686494827,0.1430126577615738
_D:,8,0.07365342974662781,0.06610354036092758,11.711690902709961,0.11711690574884415,25,1,0,0.08869078755378723,0.0740656852722168,0.1428987681865692
_D:,9,0.09706070274114609,0.07264439016580582,10.866786003112793,0.10866785794496536,25,1,0,0.08959515392780304,0.07706654816865921,0.1428101807832718
_D:,10,0.14032092690467834,0.08750446885824203,11.113568305969238,0.11113568395376205,25,1,0,0.08719488233327866,0.0774950236082077,0.14274126291275024
_D:,11,0.12354714423418045,0.09585040807723999,10.744200706481934,0.10744200646877289,25,1,0,0.08682091534137726,0.07964868098497391,0.14268766343593597
_D:,12,0.12807799875736237,0.10283805429935455,10.930145263671875,0.10930147022008896,25,1,0,0.08691215515136719,0.0829940065741539,0.1426459699869156
_D:,13,0.12730801105499268,0.10795184224843979,10.530604362487793,0.10530605167150497,25,1,0,0.08749905973672867,0.08919483423233032,0.14261353015899658
_D:,14,0.1382855921983719,0.11463801562786102,10.224656105041504,0.10224656015634537,25,1,0,0.08725804835557938,0.0973532423377037,0.1425883024930954
_D:,15,0.11347673088312149,0.11387762427330017,10.48038101196289,0.10480380803346634,25,1,0,0.0888548493385315,0.10200344026088715,0.1425686776638031
_D:,16,0.13695792853832245,0.11873987317085266,10.6651029586792,0.10665103793144226,25,1,0,0.09069430083036423,0.10088986158370972,0.1425534188747406
_D:,17,0.14170321822166443,0.12434205412864685,11.061197280883789,0.11061196029186249,25,1,0,0.08815664798021317,0.09789492934942245,0.1425415575504303
_D:,18,0.1366744488477707,0.12628012895584106,10.715323448181152,0.10715322196483612,25,1,0,0.0878773033618927,0.09245368093252182,0.1425323188304901
_D:,19,0.11648403853178024,0.12410466372966766,11.414864540100098,0.11414865404367447,25,1,0,0.08738410472869873,0.08996766060590744,0.14252515137195587
_D:,20,0.13312111794948578,0.12677454948425293,11.360749244689941,0.1136075034737587,25,1,0,0.08484156429767609,0.08743255585432053,0.14251954853534698
_D:,21,0.15408027172088623,0.13279786705970764,11.003780364990234,0.11003780364990234,25,1,0,0.08450332283973694,0.0841713547706604,0.14251519739627838
_D:,22,0.12251392006874084,0.13074442744255066,10.940016746520996,0.1094001829624176,25,1,0,0.0847819447517395,0.08152737468481064,0.14251181483268738
_D:,23,0.12181952595710754,0.12873080372810364,10.146490097045898,0.1014648899435997,25,1,0,0.08436362445354462,0.0804215744137764,0.14250919222831726
_D:,24,0.14928366243839264,0.1329478621482849,10.99119758605957,0.1099119782447815,25,1,0,0.08345220983028412,0.07787013798952103,0.1425071507692337
_D:,25,0.14713405072689056,0.13589945435523987,10.399547576904297,0.10399547219276428,25,1,0,0.08218925446271896,0.07609063386917114,0.14250555634498596
_D:,26,0.15455268323421478,0.13885533809661865,10.76418685913086,0.10764186829328537,25,1,0,0.08396044373512268,0.07418393343687057,0.14250433444976807
_D:,27,0.16985325515270233,0.1445547342300415,9.958954811096191,0.09958954155445099,25,1,0,0.08319569379091263,0.07277470082044601,0.14250338077545166
_D:,28,0.15275724232196808,0.1458493173122406,10.465995788574219,0.10465996712446213,25,1,0,0.08392537385225296,0.07190491259098053,0.14250263571739197
_D:,29,0.20018276572227478,0.1573021560907364,9.845739364624023,0.09845739603042603,25,1,0,0.0828620195388794,0.07201424241065979,0.1425020396709442
_D:,30,0.17653930187225342,0.1614658534526825,10.385229110717773,0.10385230928659439,25,1,0,0.08193463832139969,0.07390957325696945,0.14250166714191437
_D:,31,0.2403573840856552,0.17776820063591003,9.804730415344238,0.09804731607437134,25,1,0,0.08155845105648041,0.0761634111404419,0.14250129461288452
_D:,32,0.2007240355014801,0.18197788298130035,10.443215370178223,0.10443216562271118,25,1,0,0.08227566629648209,0.07620541006326675,0.14250092208385468
_D:,33,0.1962982416152954,0.1846977323293686,9.998417854309082,0.09998419135808945,25,1,0,0.08159317076206207,0.07889600843191147,0.14250072836875916
_D:,34,0.20152011513710022,0.18782183527946472,9.97945499420166,0.09979455173015594,24,0.9599999785423279,0.04000002145767212,0.08134926855564117,0.08112070709466934,0.14250072836875916
_D:,35,0.20845459401607513,0.19233405590057373,10.486429214477539,0.10486429184675217,25,1,0,0.08167611062526703,0.08368819952011108,0.14250072836875916
